id,model,trim,year,price_usd,mileage_km,fuel_type,transmission,engine_liters,horsepower,color,body_type,region,owner_count,condition,service_history
3932,S-Class,Night Edition,2010,121100,59571,Plug-in Hybrid,Automatic,2.3,448,Blue,SUV,Africa,2,Excellent,Yes
3933,AMG GT,Luxury,2012,143453,143730,Plug-in Hybrid,Manual,2.1,222,Brown,Coupe,Europe,4,Excellent,Yes
3934,EQA,Night Edition,2024,75446,95619,Electric,Automatic,0,408,Beige,Sedan,Middle East,2,Fair,Yes
3935,A-Class,Night Edition,2022,47134,113389,Diesel,Automatic,1.6,158,Red,SUV,North America,4,Like New,Yes
3936,B-Class,AMG Line,2012,61638,140650,Hybrid,Automatic,5.5,521,Gray,SUV,Africa,4,Excellent,Yes
3937,GLA,Luxury,2019,80260,142628,Hybrid,Automatic,6.2,419,Brown,Coupe,Africa,1,New,Yes
3938,EQC,Exclusive,2019,87237,135009,Electric,Automatic,0,243,Beige,SUV,Africa,4,Like New,No
3939,A-Class,Avantgarde,2015,68250,156845,Petrol,Manual,5.6,629,Green,Wagon,Asia Pacific,2,Like New,Yes
3940,GLE,Exclusive,2019,79484,148593,Diesel,Automatic,6.2,319,Silver,SUV,Middle East,1,Excellent,No
3941,EQA,Exclusive,2022,71117,167824,Electric,Automatic,0,362,Gold,Sedan,Latin America,1,Good,Yes
3942,EQC,Sport,2020,90300,189636,Electric,Automatic,0,221,Red,SUV,Middle East,3,New,Yes
3943,GLB,Base,2010,61270,194429,Plug-in Hybrid,Manual,2.8,403,Black,Convertible,Asia Pacific,1,Excellent,Yes
3944,S-Class,Night Edition,2016,83914,213562,Plug-in Hybrid,Manual,2.6,137,Silver,SUV,Middle East,3,Fair,Yes
3945,GLC,Night Edition,2014,87911,186236,Hybrid,Automatic,2.7,599,Red,SUV,Latin America,4,Like New,Yes
3946,EQB,Luxury,2013,76290,167831,Electric,Automatic,0,568,Blue,SUV,Latin America,1,Fair,Yes
3947,EQC,Avantgarde,2009,75634,130381,Electric,Automatic,0,477,Black,Sedan,Latin America,1,Fair,Yes
3948,GLE,Sport,2008,81161,212867,Diesel,Automatic,6.6,632,Silver,SUV,Africa,3,Good,No
3949,GLA,Premium,2019,73561,155127,Plug-in Hybrid,Automatic,2.2,264,Silver,Sedan,Latin America,4,New,Yes
3950,GLB,Luxury,2009,28609,187908,Petrol,Manual,6.2,150,Red,Sedan,Middle East,2,Good,Yes
3951,B-Class,Avantgarde,2010,71123,128516,Diesel,Automatic,6.9,560,Gold,SUV,Latin America,4,New,Yes
3952,GLA,AMG Line,2020,41649,57084,Petrol,Automatic,2.3,120,Gold,Roadster,Asia Pacific,3,Good,Yes
3953,E-Class,Night Edition,2018,101883,185308,Plug-in Hybrid,Manual,3.4,618,Green,Wagon,Europe,1,Like New,Yes
3954,GLB,Avantgarde,2023,64751,28909,Diesel,Automatic,2.9,323,Green,Sedan,North America,1,Very Good,Yes
3955,EQA,Luxury,2008,54945,134821,Electric,Automatic,0,280,Brown,SUV,Europe,4,Fair,No
3956,AMG GT,Sport,2008,131402,238788,Plug-in Hybrid,Manual,5.1,214,Gray,Coupe,Asia Pacific,3,Like New,Yes
3957,CLA,Avantgarde,2012,40459,202153,Hybrid,Manual,5.2,225,Beige,Coupe,Africa,2,Excellent,Yes
3958,GLC,Exclusive,2023,70169,155733,Hybrid,Automatic,3.5,319,Blue,Hatchback,Middle East,2,Very Good,Yes
3959,C-Class,Exclusive,2015,59410,48386,Plug-in Hybrid,Manual,4.5,211,Blue,Roadster,Asia Pacific,1,Very Good,No
3960,E-Class,Sport,2021,73175,108945,Hybrid,Manual,4.9,123,Red,Liftback,Latin America,3,Like New,No
3961,E-Class,Avantgarde,2011,50175,195414,Petrol,Automatic,5.8,119,White,Liftback,Asia Pacific,4,Excellent,Yes
3962,EQA,Luxury,2024,79767,130015,Electric,Automatic,0,362,Gray,Sedan,Asia Pacific,4,Good,Yes
3963,CLA,Luxury,2009,39374,204587,Plug-in Hybrid,Manual,5.1,317,Beige,Coupe,Europe,1,Fair,Yes
3964,B-Class,Night Edition,2011,22844,182796,Petrol,Automatic,4.6,239,White,Hatchback,North America,1,Fair,No
3965,E-Class,AMG Line,2012,56450,212009,Petrol,Manual,6.6,390,Blue,Liftback,Latin America,4,Fair,Yes
3966,B-Class,Premium Plus,2023,68069,123340,Diesel,Manual,2.3,358,Silver,Sedan,Asia Pacific,2,New,Yes
3967,EQB,Sport,2017,93362,198030,Electric,Automatic,0,530,Silver,SUV,Africa,2,Excellent,Yes
3968,GLE,Night Edition,2011,93878,94751,Hybrid,Automatic,3.6,484,Blue,SUV,Africa,2,Excellent,Yes
3969,B-Class,Luxury,2022,32332,159636,Petrol,Manual,6,190,Black,Coupe,Latin America,2,Fair,Yes
3970,S-Class,Avantgarde,2022,96080,24284,Diesel,Automatic,3.6,253,Red,SUV,Europe,3,Fair,Yes
3971,GLC,Exclusive,2020,78939,111471,Diesel,Manual,4.4,575,Green,Wagon,Latin America,4,Very Good,No
3972,AMG GT,Night Edition,2016,149170,97423,Petrol,Automatic,1.7,476,Red,Coupe,Latin America,1,Good,No
3973,B-Class,Premium,2008,50096,86233,Hybrid,Manual,5.7,308,Silver,Convertible,Latin America,2,Like New,No
3974,B-Class,Avantgarde,2013,54727,188736,Petrol,Manual,2.6,581,Beige,Sedan,Latin America,1,Very Good,Yes
3975,A-Class,Sport,2010,55698,164962,Plug-in Hybrid,Manual,6.8,226,White,Hatchback,Middle East,3,New,No
3976,A-Class,Exclusive,2022,46511,114246,Hybrid,Automatic,6.5,368,Green,Liftback,North America,1,Fair,No
3977,B-Class,Luxury,2024,51535,10837,Diesel,Manual,2.1,393,Brown,SUV,North America,1,Fair,No
3978,B-Class,Premium,2010,29822,221579,Diesel,Manual,2.2,209,Brown,Wagon,Asia Pacific,1,Excellent,No
3979,EQB,Luxury,2014,100719,170806,Electric,Automatic,0,561,White,SUV,Asia Pacific,2,New,Yes
3980,E-Class,Premium Plus,2017,99406,166675,Plug-in Hybrid,Automatic,5.7,452,Blue,Hatchback,Latin America,1,New,No
3981,GLS,Premium Plus,2013,100066,105357,Petrol,Automatic,6.9,182,Blue,SUV,Africa,4,Excellent,Yes
3982,C-Class,AMG Line,2014,74294,96081,Diesel,Manual,5.2,446,Gold,SUV,Africa,4,New,Yes
3983,GLC,Avantgarde,2023,58512,96053,Petrol,Manual,4.3,236,White,SUV,Middle East,4,Fair,No
3984,GLC,AMG Line,2019,50478,170534,Diesel,Manual,6.2,327,White,Roadster,Africa,1,Fair,No
3985,GLS,Exclusive,2009,112469,139373,Plug-in Hybrid,Manual,4.1,325,White,SUV,Latin America,3,Like New,Yes
3986,GLC,Avantgarde,2011,62061,152087,Plug-in Hybrid,Manual,6.1,195,Blue,Convertible,Europe,4,Excellent,Yes
3987,C-Class,Exclusive,2021,95552,81062,Plug-in Hybrid,Automatic,2.5,625,Gray,Hatchback,Africa,1,Like New,No
3988,EQC,Base,2021,97296,107176,Electric,Automatic,0,533,Green,SUV,Asia Pacific,2,Fair,No
3989,E-Class,Premium Plus,2018,63696,47430,Diesel,Manual,2.1,200,White,Sedan,North America,2,Good,No
3990,E-Class,AMG Line,2018,83907,123324,Plug-in Hybrid,Manual,3.9,502,Silver,SUV,Latin America,4,Fair,Yes
3991,GLB,Night Edition,2010,79044,119803,Petrol,Automatic,2.4,545,Silver,Convertible,North America,4,New,No
3992,GLB,Exclusive,2021,79666,167831,Hybrid,Manual,1.7,554,White,Hatchback,Africa,2,Excellent,No
3993,CLA,Avantgarde,2023,62807,57456,Petrol,Manual,1.9,522,Brown,Coupe,North America,2,Fair,Yes
3994,EQA,AMG Line,2022,92518,48152,Electric,Automatic,0,379,Green,Sedan,Asia Pacific,4,Excellent,Yes
3995,GLS,AMG Line,2025,99153,151181,Diesel,Automatic,1.5,263,Black,SUV,Latin America,3,Very Good,Yes
3996,CLA,Premium Plus,2022,62591,100248,Plug-in Hybrid,Automatic,6.5,410,Brown,Coupe,Africa,1,Fair,Yes
3997,A-Class,Premium,2014,78979,83336,Hybrid,Manual,5.9,541,Blue,SUV,North America,4,New,Yes
3998,E-Class,Luxury,2025,79901,31342,Petrol,Manual,1.9,315,Gray,Sedan,North America,2,Good,Yes
3999,S-Class,Premium,2020,110340,77810,Petrol,Automatic,3.5,190,Brown,SUV,Asia Pacific,3,Like New,No
4000,GLC,Premium,2011,71621,133091,Hybrid,Automatic,4.3,534,Gold,Wagon,Middle East,3,Good,No
4001,B-Class,Premium,2023,73135,83398,Petrol,Automatic,5,473,Brown,Roadster,Latin America,3,Like New,Yes
4002,A-Class,Premium,2010,43513,139114,Plug-in Hybrid,Automatic,4.1,327,Gold,Coupe,Latin America,3,Good,Yes
4003,A-Class,Night Edition,2015,51360,171587,Petrol,Automatic,2.3,514,Silver,Hatchback,Middle East,1,Good,Yes
4004,EQA,Premium Plus,2021,94869,69737,Electric,Automatic,0,280,Brown,SUV,North America,4,New,No
4005,GLB,Night Edition,2016,51870,49914,Hybrid,Automatic,2.4,114,Gold,Wagon,Middle East,4,Excellent,Yes
4006,CLA,Premium Plus,2019,68222,124521,Plug-in Hybrid,Automatic,3.9,533,Blue,Coupe,Europe,4,Fair,Yes
4007,EQB,AMG Line,2020,96574,90345,Electric,Automatic,0,473,White,Sedan,Middle East,2,Excellent,Yes
4008,A-Class,Sport,2017,58552,142834,Petrol,Manual,6.6,487,Brown,Liftback,Africa,3,Like New,Yes
4009,EQA,Premium,2009,80799,112045,Electric,Automatic,0,452,Silver,Sedan,Europe,1,Like New,No
4010,E-Class,Luxury,2009,68296,225322,Petrol,Automatic,2.7,386,Red,SUV,Middle East,2,Like New,Yes
4011,E-Class,Premium,2022,88729,47220,Diesel,Manual,4.5,508,Beige,SUV,Africa,1,Very Good,Yes
4012,GLA,Exclusive,2025,66869,151291,Diesel,Manual,3.3,313,Green,Sedan,Middle East,3,New,Yes
4013,S-Class,Luxury,2024,109589,26323,Plug-in Hybrid,Manual,2.9,160,Gray,SUV,Europe,3,Good,Yes
4014,EQC,Night Edition,2017,92446,109847,Electric,Automatic,0,544,Gray,SUV,North America,4,Fair,Yes
4015,C-Class,Exclusive,2010,42057,206500,Petrol,Manual,4.4,279,Black,Hatchback,Africa,4,Excellent,Yes
4016,E-Class,Avantgarde,2011,78325,211367,Plug-in Hybrid,Automatic,3.8,272,Silver,Coupe,Latin America,1,New,Yes
4017,E-Class,Luxury,2021,94149,78245,Hybrid,Manual,6.7,435,Red,Liftback,Africa,2,Excellent,Yes
4018,AMG GT,Premium Plus,2021,138202,134911,Hybrid,Manual,3.9,183,Beige,Coupe,Africa,2,Very Good,No
4019,A-Class,Premium,2010,50567,111757,Plug-in Hybrid,Manual,1.3,387,Red,Hatchback,Europe,2,Very Good,No
4020,GLC,Premium Plus,2009,41651,214966,Diesel,Automatic,6.8,190,Silver,Coupe,Latin America,4,Excellent,Yes
4021,CLA,Sport,2010,63946,87587,Hybrid,Manual,2.4,352,Black,Coupe,Latin America,2,New,Yes
4022,CLA,Premium,2015,52251,198907,Hybrid,Manual,5.2,120,Blue,Coupe,Asia Pacific,2,New,Yes
4023,EQB,Base,2014,96025,80320,Electric,Automatic,0,385,Gold,SUV,North America,2,New,No
4024,CLA,Avantgarde,2025,65433,79908,Diesel,Automatic,3.6,528,Black,Coupe,Africa,1,Good,Yes
4025,CLA,Exclusive,2023,52782,135362,Hybrid,Automatic,4.1,230,Gold,Coupe,Latin America,1,Very Good,No
4026,A-Class,Sport,2014,36926,102961,Plug-in Hybrid,Manual,4.6,141,Brown,Coupe,North America,1,Very Good,No
4027,EQB,Premium Plus,2017,74480,66704,Electric,Automatic,0,221,Beige,Sedan,Middle East,3,Good,Yes
4028,B-Class,Premium,2023,74124,77519,Hybrid,Manual,5.7,528,Green,SUV,Latin America,1,Very Good,Yes
4029,S-Class,Avantgarde,2019,125394,141617,Plug-in Hybrid,Manual,1.6,540,Red,SUV,Middle East,3,Very Good,Yes
4030,GLB,Sport,2025,64388,15347,Diesel,Automatic,2.5,263,Gray,SUV,Africa,3,Excellent,No
4031,GLB,Premium Plus,2015,50754,196647,Diesel,Automatic,6,501,Gray,SUV,Latin America,1,Fair,No
4032,EQC,Base,2013,104888,144713,Electric,Automatic,0,509,Brown,Sedan,Europe,4,New,Yes
4033,EQA,Avantgarde,2009,70878,168644,Electric,Automatic,0,477,Red,SUV,North America,1,Very Good,Yes
4034,AMG GT,Avantgarde,2009,123482,96792,Petrol,Automatic,3.6,330,Black,Coupe,Asia Pacific,2,Fair,Yes
4035,B-Class,Exclusive,2014,45020,175650,Plug-in Hybrid,Manual,3.4,350,Blue,Wagon,Europe,3,Good,No
4036,S-Class,Sport,2023,108206,87152,Petrol,Manual,2.3,450,Gray,SUV,Latin America,3,Fair,No
4037,GLA,Premium Plus,2018,56269,131621,Diesel,Automatic,5.2,209,Green,Convertible,Middle East,4,New,Yes
4038,GLC,Night Edition,2022,49064,14918,Diesel,Manual,5,162,Blue,Wagon,Latin America,3,Fair,Yes
4039,GLS,Sport,2012,106309,81023,Petrol,Automatic,1.6,514,Brown,SUV,Asia Pacific,4,Fair,Yes
4040,GLC,AMG Line,2015,65196,127180,Petrol,Manual,4.3,510,Blue,Coupe,Africa,3,Fair,Yes
4041,EQA,Night Edition,2016,69926,85719,Electric,Automatic,0,398,Gray,Sedan,Asia Pacific,2,Fair,No
4042,A-Class,Sport,2011,57044,165108,Petrol,Manual,4.5,461,Black,Roadster,North America,2,New,Yes
4043,C-Class,Exclusive,2018,60207,50936,Petrol,Automatic,6.8,168,Green,Convertible,Europe,2,Like New,Yes
4044,E-Class,Luxury,2024,99622,156774,Plug-in Hybrid,Manual,2.8,389,Brown,Convertible,Africa,1,New,Yes
4045,EQC,AMG Line,2010,77418,117850,Electric,Automatic,0,239,Beige,SUV,Africa,3,Very Good,No
4046,B-Class,AMG Line,2021,60131,69815,Hybrid,Manual,6.6,412,Green,Liftback,Asia Pacific,1,Very Good,No
4047,B-Class,Base,2009,25716,174950,Diesel,Manual,3.4,145,Green,Hatchback,Latin America,4,Excellent,Yes
4048,GLS,Luxury,2010,113021,165778,Diesel,Manual,5.8,522,Brown,SUV,Latin America,4,Like New,No
4049,A-Class,Base,2022,53106,37275,Petrol,Automatic,1.9,279,Green,Convertible,Africa,4,Very Good,No
4050,EQA,Base,2008,83751,119173,Electric,Automatic,0,563,White,Sedan,North America,4,Excellent,Yes
4051,S-Class,Luxury,2020,103418,48484,Diesel,Automatic,1.4,138,White,SUV,Latin America,1,Excellent,Yes
4052,GLE,Premium,2018,97048,182136,Petrol,Automatic,2,574,Blue,SUV,Middle East,4,Excellent,No
4053,GLE,Base,2023,85384,187441,Plug-in Hybrid,Automatic,2.4,254,Gold,SUV,North America,2,Very Good,No
4054,GLC,Luxury,2014,76620,104254,Petrol,Automatic,5.9,324,Gray,SUV,Europe,4,New,No
4055,AMG GT,Base,2024,142267,125523,Hybrid,Automatic,2.8,228,Gray,Coupe,Asia Pacific,4,Good,Yes
4056,C-Class,Premium,2008,67010,78837,Diesel,Manual,4.1,486,Green,Coupe,Africa,4,Like New,No
4057,A-Class,Luxury,2009,49336,203150,Plug-in Hybrid,Automatic,3.5,376,Green,Roadster,Asia Pacific,1,Excellent,No
4058,S-Class,Luxury,2024,89413,169472,Diesel,Manual,6.3,119,Gray,SUV,Europe,1,Good,Yes
4059,GLS,AMG Line,2017,111613,135780,Diesel,Manual,6.9,539,White,SUV,Africa,3,Good,No
4060,GLS,AMG Line,2008,110651,63197,Plug-in Hybrid,Automatic,6.7,194,White,SUV,Europe,4,Like New,Yes
4061,CLA,Night Edition,2025,52720,103385,Plug-in Hybrid,Manual,6.1,149,Red,Coupe,Africa,3,Good,No
4062,A-Class,Exclusive,2023,31680,84716,Diesel,Automatic,3.6,148,Red,Coupe,Latin America,2,Fair,No
4063,GLC,Avantgarde,2012,50079,143020,Petrol,Automatic,4.4,366,Red,SUV,Asia Pacific,2,Fair,Yes
4064,EQA,Sport,2018,110589,105103,Electric,Automatic,0,595,Blue,Sedan,Latin America,1,New,Yes
4065,GLE,Base,2010,62178,184032,Petrol,Automatic,1.9,183,Black,SUV,Middle East,4,Very Good,Yes
4066,EQB,Exclusive,2017,78524,206859,Electric,Automatic,0,485,Green,SUV,Asia Pacific,4,Good,Yes
4067,CLA,Base,2016,55050,60729,Diesel,Manual,5.4,339,Blue,Coupe,Europe,2,Excellent,Yes
4068,GLB,Exclusive,2020,44981,23024,Diesel,Automatic,2.8,164,Brown,Hatchback,Europe,3,Good,Yes
4069,EQB,Avantgarde,2018,118370,40981,Electric,Automatic,0,613,Brown,SUV,Middle East,3,New,Yes
4070,GLE,Exclusive,2015,79012,38745,Diesel,Manual,2.7,193,Blue,SUV,North America,1,Excellent,Yes
4071,B-Class,Sport,2021,69985,132217,Hybrid,Manual,2.9,441,Gray,SUV,Latin America,4,Like New,No
4072,AMG GT,AMG Line,2018,150405,162851,Hybrid,Manual,6.2,486,Green,Coupe,Africa,1,Good,No
4073,AMG GT,Avantgarde,2017,163856,145198,Plug-in Hybrid,Manual,2.1,610,Gray,Coupe,Latin America,4,Good,No
4074,B-Class,Avantgarde,2011,50146,202353,Plug-in Hybrid,Manual,5.9,311,Silver,Wagon,Europe,4,Like New,No
4075,GLA,AMG Line,2017,53683,85980,Hybrid,Automatic,2.8,369,Blue,Roadster,Latin America,2,Fair,No
4076,GLB,Luxury,2013,41179,57593,Hybrid,Automatic,3.9,166,Silver,Convertible,Latin America,1,Fair,Yes
4077,GLB,Night Edition,2024,61100,175517,Diesel,Manual,3.8,567,Beige,SUV,Latin America,4,Fair,Yes
4078,CLA,Luxury,2013,43440,154035,Plug-in Hybrid,Automatic,1.3,189,Blue,Coupe,Africa,2,Very Good,Yes
4079,GLA,Sport,2015,91677,46599,Plug-in Hybrid,Manual,3.7,567,Blue,SUV,Middle East,2,New,Yes
4080,AMG GT,Premium Plus,2013,153328,148735,Hybrid,Manual,2.7,447,Red,Coupe,Middle East,2,Like New,Yes
4081,GLA,Sport,2018,60210,83005,Petrol,Automatic,4.1,579,Gold,SUV,Africa,2,Fair,Yes
4082,S-Class,Base,2021,104868,123398,Petrol,Manual,6.4,179,Silver,SUV,Europe,3,Like New,Yes
4083,GLE,Avantgarde,2008,88055,107754,Petrol,Automatic,2.6,482,Silver,SUV,North America,2,Excellent,Yes
4084,CLA,Avantgarde,2010,36872,167184,Diesel,Automatic,6.2,321,Red,Coupe,Asia Pacific,4,Good,Yes
4085,S-Class,Premium Plus,2012,122366,97585,Hybrid,Automatic,2.8,510,Gold,SUV,Asia Pacific,2,Excellent,Yes
4086,GLC,Premium,2019,77461,181397,Hybrid,Manual,2,381,Silver,Hatchback,Middle East,4,Like New,Yes
4087,C-Class,Night Edition,2018,65822,185720,Diesel,Manual,1.4,482,Brown,SUV,Asia Pacific,4,Excellent,Yes
4088,AMG GT,Night Edition,2017,147090,80209,Plug-in Hybrid,Automatic,2.8,461,White,Coupe,North America,2,Fair,No
4089,CLA,Sport,2024,56715,15513,Diesel,Automatic,4.8,278,Blue,Coupe,Latin America,2,Good,No
4090,GLB,Premium Plus,2021,72916,41875,Diesel,Automatic,2.6,270,Black,Wagon,Africa,2,New,Yes
4091,GLC,Exclusive,2012,69428,180329,Plug-in Hybrid,Automatic,1.8,312,Gold,Coupe,Middle East,3,Like New,No
4092,B-Class,Avantgarde,2024,77007,70397,Petrol,Manual,6.4,551,Brown,Coupe,Asia Pacific,3,Excellent,No
4093,GLA,Exclusive,2018,56237,152986,Petrol,Manual,6.9,380,Gold,Sedan,Middle East,1,Very Good,Yes
4094,GLA,Base,2012,71715,102008,Petrol,Automatic,4.3,565,Silver,Hatchback,Middle East,4,Like New,Yes
4095,E-Class,Luxury,2013,74728,173275,Plug-in Hybrid,Manual,5.4,555,Brown,Hatchback,Middle East,1,Fair,No
4096,EQB,Avantgarde,2025,92877,14368,Electric,Automatic,0,450,Gray,SUV,Middle East,2,Fair,Yes
4097,GLS,Exclusive,2011,115810,146821,Hybrid,Manual,2.4,291,Red,SUV,North America,1,New,Yes
4098,S-Class,Exclusive,2014,112414,196898,Petrol,Manual,5.5,470,Gray,SUV,Middle East,4,Excellent,Yes
4099,S-Class,Premium,2016,99195,84193,Diesel,Automatic,6.7,279,White,SUV,Middle East,2,Very Good,Yes
4100,A-Class,Premium Plus,2016,50509,178200,Diesel,Automatic,4.3,625,Black,Hatchback,North America,2,Fair,Yes
4101,CLA,Sport,2011,59569,116182,Diesel,Automatic,5,492,Gold,Coupe,Africa,3,Excellent,No
4102,EQC,AMG Line,2018,86501,126459,Electric,Automatic,0,476,White,Sedan,Africa,2,Fair,Yes
4103,AMG GT,Premium,2018,151809,193213,Plug-in Hybrid,Automatic,6.5,311,Green,Coupe,North America,2,Like New,Yes
4104,CLA,Luxury,2009,72655,75998,Petrol,Automatic,3.2,531,Beige,Coupe,North America,3,New,Yes
4105,B-Class,Base,2010,36980,109399,Petrol,Automatic,1.9,190,Red,Sedan,Africa,4,Excellent,Yes
4106,GLA,Luxury,2016,68644,188539,Plug-in Hybrid,Manual,2.6,482,Red,Coupe,Africa,4,Very Good,No
4107,C-Class,Luxury,2015,64901,139458,Diesel,Automatic,2.2,607,Red,Hatchback,Latin America,1,Very Good,No
4108,E-Class,AMG Line,2021,110551,81344,Hybrid,Automatic,2.4,607,Green,Liftback,Middle East,1,New,Yes
4109,EQC,AMG Line,2018,82344,78268,Electric,Automatic,0,206,White,Sedan,Europe,2,Very Good,No
4110,GLC,AMG Line,2020,80968,26046,Diesel,Automatic,3.4,410,Gold,Convertible,Africa,3,Excellent,Yes
4111,GLB,Premium,2011,76760,116100,Plug-in Hybrid,Manual,4.8,603,Green,SUV,Europe,2,Good,No
4112,GLA,Avantgarde,2016,81376,87784,Hybrid,Automatic,1.5,553,Green,Liftback,Latin America,4,Like New,No
4113,GLS,AMG Line,2015,126614,115454,Petrol,Manual,1.8,576,Brown,SUV,Asia Pacific,1,Like New,Yes
4114,EQB,Exclusive,2012,85421,170386,Electric,Automatic,0,585,Green,SUV,Europe,2,Very Good,Yes
4115,GLB,Exclusive,2010,76085,225908,Petrol,Manual,3.2,632,Black,Liftback,Asia Pacific,4,New,Yes
4116,E-Class,AMG Line,2010,66674,203668,Diesel,Manual,1.4,577,Black,SUV,Latin America,3,Good,No
4117,GLE,Avantgarde,2021,63576,167639,Diesel,Manual,5.6,236,Gray,SUV,Middle East,4,Fair,Yes
4118,GLB,Premium,2009,54985,166768,Hybrid,Automatic,4.2,311,Silver,Coupe,Middle East,4,Like New,Yes
4119,GLC,Luxury,2012,80265,94968,Hybrid,Manual,1.3,522,Silver,SUV,North America,3,Very Good,Yes
4120,GLS,Base,2013,115777,106912,Diesel,Automatic,4.5,364,Beige,SUV,North America,4,New,No
4121,A-Class,Premium Plus,2014,35849,135171,Petrol,Automatic,3.5,206,Silver,SUV,Middle East,1,Very Good,Yes
4122,EQA,Luxury,2009,75006,111425,Electric,Automatic,0,454,Gold,Sedan,Latin America,2,Good,No
4123,CLA,Base,2016,49038,143318,Diesel,Manual,4.4,493,Beige,Coupe,North America,2,Fair,Yes
4124,S-Class,Luxury,2020,129655,44703,Hybrid,Manual,2.9,374,Gray,SUV,Africa,4,Like New,No
4125,S-Class,Avantgarde,2014,91595,165692,Petrol,Automatic,5.2,261,Gold,SUV,Africa,1,Good,Yes
4126,EQC,Premium Plus,2023,115540,14105,Electric,Automatic,0,494,Silver,Sedan,Africa,4,Like New,Yes
4127,GLS,Luxury,2023,129202,96549,Hybrid,Automatic,4.4,477,Black,SUV,Europe,4,Excellent,Yes
4128,B-Class,Base,2010,38587,169708,Diesel,Manual,5.5,375,Green,Wagon,Middle East,1,Very Good,No
4129,GLA,AMG Line,2016,56861,118414,Plug-in Hybrid,Manual,3.7,236,White,Wagon,Europe,2,Excellent,Yes
4130,AMG GT,Premium Plus,2008,118446,242015,Hybrid,Automatic,5.7,208,Gray,Coupe,Africa,3,Very Good,Yes
4131,CLA,Premium,2009,36187,227594,Petrol,Automatic,4.2,330,Green,Coupe,Europe,1,Good,Yes
4132,B-Class,Luxury,2012,38832,158116,Hybrid,Manual,4.6,128,White,Coupe,Asia Pacific,1,Excellent,No
4133,EQA,Premium,2020,109409,97721,Electric,Automatic,0,579,White,Sedan,North America,2,New,Yes
4134,S-Class,Night Edition,2022,94659,52174,Diesel,Manual,6.4,138,Black,SUV,Middle East,2,Good,Yes
4135,AMG GT,Premium,2019,144408,192039,Plug-in Hybrid,Automatic,3.4,398,Red,Coupe,Africa,3,Fair,No
4136,B-Class,Premium,2021,47899,111946,Diesel,Automatic,5.9,222,Black,Wagon,Latin America,3,Like New,Yes
4137,GLC,Night Edition,2013,75520,114926,Hybrid,Manual,5.2,400,Beige,Hatchback,Latin America,3,Like New,No
4138,B-Class,Exclusive,2011,64297,216946,Plug-in Hybrid,Manual,2.7,580,Blue,Coupe,Europe,1,Excellent,Yes
4139,S-Class,Premium Plus,2013,89883,126128,Diesel,Automatic,5.6,366,Silver,SUV,Latin America,4,Fair,Yes
4140,AMG GT,Exclusive,2020,133660,195912,Petrol,Automatic,2.8,327,Blue,Coupe,Africa,1,Good,Yes
4141,A-Class,Premium Plus,2011,62191,108930,Petrol,Manual,1.6,626,Gold,Coupe,Middle East,2,Excellent,No
4142,B-Class,Exclusive,2015,87254,103285,Plug-in Hybrid,Manual,3,628,Beige,Hatchback,Africa,2,New,Yes
4143,GLE,Exclusive,2018,73050,85647,Diesel,Automatic,5,244,Blue,SUV,Latin America,4,Very Good,Yes
4144,GLB,Base,2020,65641,79561,Petrol,Manual,3.5,445,Silver,Wagon,Europe,2,Very Good,No
4145,EQB,Exclusive,2025,115595,41933,Electric,Automatic,0,501,Black,SUV,Middle East,2,New,No
4146,B-Class,Luxury,2016,25870,114654,Diesel,Manual,4.1,126,Gray,SUV,North America,3,Good,Yes
4147,GLS,Base,2008,115332,123424,Plug-in Hybrid,Automatic,1.6,507,Green,SUV,Asia Pacific,2,Very Good,Yes
4148,GLE,Premium Plus,2022,90431,31182,Diesel,Manual,4.4,196,Brown,SUV,Middle East,4,New,Yes
4149,C-Class,Night Edition,2011,54156,72368,Diesel,Automatic,3.6,130,Black,Convertible,North America,1,New,Yes
4150,EQC,Sport,2023,113077,65168,Electric,Automatic,0,361,Green,Sedan,Latin America,4,New,Yes
4151,GLC,Sport,2010,78750,182974,Hybrid,Manual,4.7,539,Gold,Wagon,North America,2,Like New,No
4152,GLE,Night Edition,2008,53607,125369,Hybrid,Automatic,2.6,184,Brown,SUV,Asia Pacific,4,Fair,No
4153,EQA,Premium,2013,82768,185200,Electric,Automatic,0,553,Silver,SUV,Middle East,4,Excellent,Yes
4154,GLB,Avantgarde,2020,75863,121948,Hybrid,Automatic,2.3,335,Silver,Hatchback,North America,3,New,Yes
4155,AMG GT,Avantgarde,2024,161954,99493,Petrol,Automatic,4,583,White,Coupe,Europe,1,Good,Yes
4156,GLS,Avantgarde,2017,113507,50387,Diesel,Manual,1.9,350,Red,SUV,Middle East,1,Excellent,Yes
4157,AMG GT,Luxury,2024,157536,134424,Hybrid,Manual,5.1,497,Black,Coupe,North America,4,Very Good,No
4158,EQA,Premium,2014,63555,195920,Electric,Automatic,0,366,Green,Sedan,Europe,4,Good,No
4159,E-Class,Exclusive,2022,52081,176083,Hybrid,Manual,5.7,171,Red,Roadster,Latin America,1,Fair,Yes
4160,EQC,Night Edition,2018,98628,33211,Electric,Automatic,0,589,Black,Sedan,Latin America,3,Fair,Yes
4161,C-Class,Sport,2023,48479,143128,Hybrid,Automatic,3,284,Red,Sedan,Europe,3,Fair,Yes
